Beer,Brewery,Location,% Alc (ABV)
New Belgium Rampant Imperial IPA,New Belgium Brewing Co.,Fort Collins CO,8.5
Blonde Fatale,PeaceTree Brewing,Knoxville TN,8.5
Iron Thistle Scottish Style Ale,Rahr & Sons Brewing Co.,Fort Worth TX,8.5
Regulator German-Style Doppelbock,Rahr & Sons Brewing Co.,Fort Worth TX,8.5
Snowmageddon,Rahr & Sons Brewing Co.,Fort Worth TX,8.5
Imperial IPA,Saranac - Matt Brewing Co,,8.5
Controversius Maximus,Short's Brewing Company,Elk Rapids MI,8.5
Ballz Deep Double Ipa,7 Seas Brewing,Gig Harbor WA,8.4
Evil Urges,Short's Brewing Company,Elk Rapids MI,8.4
Mystery Stout,Short's Brewing Company,Elk Rapids MI,8.4
Pan Galactic Gargle Blaster,Short's Brewing Company,Elk Rapids MI,8.4
Crest Super,Wells & Young's Ltd ,Bedford UK,8.4
Old Jubilation Ale,Avery Brewing Co.,Boulder CO,8.3
Racer X,Bear Republic Brewing Company,Healdsburg CA,8.3
Loch Erie Scotch Ale,Great Lakes Brewing Co.,Cleveland OH,8.3
Legend Imperial Brown Ale,Legend Brewing Co.,Richmond VA,8.3
Aorta Ale,Short's Brewing Company,Elk Rapids MI,8.3
Peaches and Cream,Short's Brewing Company,Elk Rapids MI,8.3
Calico IPA,Wildcat Brewery,,8.3
Wild Rice Double IPA,Flying Fish Brewing Co,,8.2
Grand Cru,Great Lakes Brewing Co.,Cleveland OH,8.2
Kentucky Ale Bourbon Barrel,Lexington Brewing Company,,8.2
St. Ides Malt Liquor,McKenzie River Brewing,,8.2
Hurricane High Gravity Lager,Anheuser Busch,St Louis MO,8.1
Big Bear Black Stout,Bear Republic Brewing Company,Healdsburg CA,8.1
Black Racer,Bear Republic Brewing Company,Healdsburg CA,8.1
Steel Reserve 211,Steel Brewing Company,,8.1
Le Havre (The Harbor) Belgian Winter Ale,7 Seas Brewing,Gig Harbor WA,8
Abbey Ale,Abita Brewing Company,Abita Springs LA,8
Andygator,Abita Brewing Company,Abita Springs LA,8
Bud Light Lime-a-rita,Anheuser Busch,St Louis MO,8
Blue Dawg Brewing Blueberry Lager,Anheuser-Busch,St Louis MO,8
Natty Daddy,Anheuser-Busch ,St Louis MO,8
Hop Rod Rye,Bear Republic Brewing Company,Healdsburg CA,8
Ryevalry,Bear Republic Brewing Company,Healdsburg CA,8
Cherry Stout,Bell's Brewery,Kalamazoo MI,8
Wild Blue Lager,Blue Dog,,8
Maredsous 8 - Brune,Brouwerij Duvel Moortgat NV,Belgium,8
King Cobra,Brouwerij Palm,Londerzeel Belgium,8
Abbey Ave. Dubbel,Great Lakes Brewing Co.,Cleveland OH,8
Glockenspiel,Great Lakes Brewing Co.,Cleveland OH,8
Honey Ale,Great Lakes Brewing Co.,Cleveland OH,8
Instigator Doppelbock,Great Lakes Brewing Co.,Cleveland OH,8
Nosferatu,Great Lakes Brewing Co.,Cleveland OH,8
Lucky Lager Force 8,Labatt Breweries (InBev),,8
WINTERBRAUN,Lost Coast Brewery,Eureka CA,8
Double India Pale Ale,Marble Brewary,Albuquerque NM,8
Stout Americano,Marble Brewary,Albuquerque NM,8
Angry Goat Weizen Doppelbock,Rahr & Sons Brewing Co.,Fort Worth TX,8
Pecker Wrecker,Rahr & Sons Brewing Co.,Fort Worth TX,8
Pliny The Elder,Russian River Brewing Co.,California,8
