Beer,Brewery,Location,% Alc (ABV)
IPA,Strike Brewing Company,San Jose CA,5.9
Rude Parrot Ipa,7 Seas Brewing,Gig Harbor WA,5.9
Hop Prophet: 100% Wet Hop Ale,7 Seas Brewing,Gig Harbor WA,5.8
Hopalicious,Ale Asylum,Madison WI,5.8
Boont Amber,Anderson Valley Brewing,Boonville CA,5.8
Shock Top Wheat IPA,Anheuser-Busch,St Louis MO,5.8
Best Brown Ale,Bell's Brewery,Kalamazoo MI,5.8
Sam Adams Winter Lager,Boston Beer Co.,Boston MA,5.8
Pandora's Bock,Breckenridge Brewery,Denver CO,5.8
Coopers Sparkling Ale,Coopers,,5.8
Cinder Cone Red,Deschutes,,5.8
Quail Springs IPA,Deschutes,,5.8
Dortmunder Gold Lager,Great Lakes Brewing Co.,Cleveland OH,5.8
Edmund Fitzgerald Porter,Great Lakes Brewing Co.,Cleveland OH,5.8
Rapid Red Ale,Great Lakes Brewing Co.,Cleveland OH,5.8
Rubicon,Great Lakes Brewing Co.,Cleveland OH,5.8
Hacker Pschorr,Hacker-Pschorr Bräu GmbH,Germany,5.8
Highland Gaelic Ale,Highland Brewing,Asheville  NC,5.8
Hinterland Luna Coffee Stout,Hinterland Brewery,Green Bay WI,5.8
Pyramid Rock Amber Ale,La Cumbre Brewing Co.,Albuquerque NM,5.8
Legend Porter,Legend Brewing Co.,Richmond VA,5.8
EIGHT-BALL STOUT,Lost Coast Brewery,Eureka CA,5.8
Oatmeal Stout,Marble Brewary,Albuquerque NM,5.8
Hammerhead,McMenamins,,5.8
Fat Squirrel,New Glarus Brewing Co,,5.8
Gnaw Bone,Oaken Barrel Brewing Co.,,5.8
Snake Pit,Oaken Barrel Brewing Company,,5.8
Pete's Oktoberfest,Pete's Brewing,,5.8
Redhook ESB,Redhook Brewery,Redmond WA,5.8
India Pale Ale,Saranac - Matt Brewing Co,,5.8
Shipyard IPA,Shipyard Brewing Company,,5.8
Golden Rule,Short's Brewing Company,Elk Rapids MI,5.8
Pumpkin Ale Wolaver's Fine Organic Ales,Wolaver's Fine Organic Ales,Middlebury VT,5.8
Pale Ale,Yazoo Brewing Company,,5.8
Zywiec,Zywiec Brewery,,5.8
Alaskan Stout,Alaskan Brewing,Juneau AK,5.7
Barney Flats Oatmeal,Anderson Valley Brewing,Boonville CA,5.7
Sam Adams Octoberfest,Boston Beer Co.,Boston MA,5.7
Samuel Adams Harvest Pumpkin Ale,Boston Beer Co.,Boston MA,5.7
Pale Ale,Breckenridge Brewery,Denver CO,5.7
Kirkland Signature Amber Ale,Costco Wholesale Corp,Issaquah WA,5.7
Märzen,Gordon Biersch,San Jose CA,5.7
Rock's Rye,Great Lakes Brewing Co.,Cleveland OH,5.7
Going to the Sun IPA                                         ,Great Northern Brewery,Whitefish MT,5.7
Bourbon Magician,Short's Brewing Company,Elk Rapids MI,5.7
Hopstach,Short's Brewing Company,Elk Rapids MI,5.7
Sierra Nevada Porter,Sierra Nevada Brewing Co.,Chico CA,5.7
Shiner Oktoberfest,Spoetzl Brewery (Gambrinus Company),Texas,5.7
Horizon Red Ale,Summit Brewing Co,,5.7
Polar Bear Pilsner,Thirsty Bear Brewing Company,,5.7
Turbodog,Abita Brewing Company,Abita Springs LA,5.6
Anchor Porter,Anchor Brewing,San Francisco CA,5.6
Avery White Rascal,Avery Brewing Co.,Boulder CO,5.6
Bell's Porter,Bell's Brewery,Kalamazoo MI,5.6
Prestige,Brasserie Nationale d'Haiti,Haiti,5.6
Colt 45 Malt Liquor,G. Heileman Brewing Co.,Milwaukee WI,5.6
Wildflower Wheat,Marble Brewary,Albuquerque NM,5.6
Mickey's,Mickey's,,5.6
Magnum Malt Liquor,MillerCoors,Milwaukee WI,5.6
Mickey's Fine Malt Liquor,MillerCoors,Milwaukee WI,5.6
Mickey's Malt Liquor,MillerCoors,United States,5.6
Molson Ice,Molson Coors,Ontario Canada,5.6
New Belgium 1554,New Belgium Brewing Co.,Fort Collins CO,5.6
Redhook Nut Brown,Redhook Brewery,Redmond WA,5.6
Saint Arnold Winter Stout,Saint Arnold Brewing Co.,,5.6
Hefeweizen,Saranac - Matt Brewing Co,,5.6
Noble Chaos,Short's Brewing Company,Elk Rapids MI,5.6
Sierra Nevada Pale Ale,Sierra Nevada Brewing Co.,Chico CA,5.6
Great Northern Porter,Summit Brewing Co,,5.6
Hophead IPA,Tree Brewing Co.,,5.6
ZYWIEC,Zywiec Brewery,,5.6
Reign Man Esb,7 Seas Brewing,Gig Harbor WA,5.5
Madtown Nutbrown,Ale Asylum,Madison WI,5.5
Unshadowed,Ale Asylum,Madison WI,5.5
Deep Enders Porter,Anderson Valley Brewing,Boonville CA,5.5
Poleeko Gold,Anderson Valley Brewing,Boonville CA,5.5
Bud Ice,Anheuser Busch,St Louis MO,5.5
Ellie’s Brown Ale,Avery Brewing Co.,Boulder CO,5.5
Bass Pale Ale,Bass Brewers Ltd.,UK,5.5
Amber Ale,Bell's Brewery,Kalamazoo MI,5.5
Sam Adams Alpine Spring,Boston Beer Co.,Boston MA,5.5
Samuel Adams Blueberry Hill Lager,Boston Beer Co.,Boston MA,5.5
IPA,BridgePort Brewing Co.,Portland OR,5.5
Porter,BridgePort Brewing Co.,Portland OR,5.5
Lost Lake,Camo Brewing,,5.5
Brown Bird ale,Captain Lawrence Brewery,,5.5
Stag Lager,Carib Brewery,Trinidad & Tobago,5.5
Batch 19,Coors Brewing Company,Golden CO,5.5
Batch 19 Lager,Coors Brewing Company,Golden CO,5.5
Kirkland Signature Hefeweizen,Costco Wholesale Corp,Issaquah WA,5.5
RAMSAY’S FAT LIP ALE,English Ales Brewery,,5.5
Genesee Ice,Genesee Brewing Company,Rochester NY,5.5
Roscoe's Hop House,Genesee Brewing Company,Rochester NY,5.5
Cream Ale,Great Lakes Brewing Co.,Cleveland OH,5.5
Goldrush,Great Lakes Brewing Co.,Cleveland OH,5.5
York Street Bitter,Great Lakes Brewing Co.,Cleveland OH,5.5
Harpoon Dark,Harpoon Brewery,Boston MA,5.5
Hofbräu Dunkel,Hofbräuhaus München,Germany,5.5
Little King's Cream Ale,Hudepohl-Schoenling Brewing,Cincinnati OH,5.5
Hatuey beer,Indian Head Brewery,Baltimore MD,5.5
Koko Brown,Kona Brewing Co.,Hawaii United States,5.5
Legend Hefeweizen,Legend Brewing Co.,Richmond VA,5.5
Legend Pale Ale,Legend Brewing Co.,Richmond VA,5.5
Leinenkugels Hoppin’ Helles,Leinenkugel Brewing Co,Chippewa Falls WI,5.5
ALLEYCAT AMBER,Lost Coast Brewery,Eureka CA,5.5
TANGERINE WHEAT ALE,Lost Coast Brewery,Eureka CA,5.5
Black Rabbit Porter,McMenamins,,5.5
Irish Pale Ale,McSorleys,,5.5
Molson Dry,MillerCoors,,5.5
Icehouse,MillerCoors,Milwaukee WI,5.5
Miller Ice Light,MillerCoors,Milwaukee WI,5.5
Boxer Ice,Minhas Craft Brewery,,5.5
Simpler Times Pilsner,Minhas Craft Brewery,,5.5
Paulaner Hefe-Weizen,Paulaner,,5.5
Saint Arnold Amber Ale,Saint Arnold Brewing Co.,,5.5
Freestyle Pilsner,Santa Fe Brewing,,5.5
Adirondack Lager,Saranac - Matt Brewing Co,,5.5
Adirondack Lager,Saranac - Matt Brewing Co,,5.5
Pale Ale,Saranac - Matt Brewing Co,,5.5
Pale Ale,Saranac - Matt Brewing Co,,5.5
Sarasota Brewing Sequoia Amber Lager,Sarasota Brewing Company,Sarasota Florida USA,5.5
Lauren’s Pale Ale (LPA),Seven Brides Brewing,Silverton OR,5.5
Alien Einstein,Short's Brewing Company,Elk Rapids MI,5.5
Key Lime Pie,Short's Brewing Company,Elk Rapids MI,5.5
Kind Ale (aka Harvest Ale),Short's Brewing Company,Elk Rapids MI,5.5
Shiner Wild Hare Pale Ale,Spoetzl Brewery,TX,5.5
Ephemere Apple,Unibroue (Sapporo),,5.5
Brown Ale Wolaver's Fine Organic Ales,Wolaver's Fine Organic Ales,Middlebury VT,5.5
Yuengling Octoberfest,Yuengling Brewery ,Potsville PA,5.5
Wurtzburger Hofbrau Light,Wurtzburger Hofbrau,Germany,5.4
Wurzburger Hofbrau,Wurtzburger Hofbrau,Germany,5.4
British Pale Ale,7 Seas Brewing,Gig Harbor WA,5.4
Fall Fest,Abita Brewing Company,Abita Springs LA,5.4
Karma,Avery Brewing Co.,Boulder CO,5.4
Weihenstephaner Hefe Weissbier,Bayerische Staatsbrauerei Weihenstephan,Freising Germany,5.4
Weihenstephaner Kristall Weissbier,Bayerische Staatsbrauerei Weihenstephan,Freising Germany,5.4
Global Kolsch,Bear Republic Brewing Company,Healdsburg CA,5.4
Blue Moon White,Blue Moon Brewing Company,Golden CO,5.4
Pale Ale,Boulevard Brewing Co.,Kansas City MO,5.4
Avalanche Amber,Breckenridge Brewery,Denver CO,5.4
Session Black Lager,Full Sail Brewing,Hood River OR,5.4
Holy Moses White Ale,Great Lakes Brewing Co.,Cleveland OH,5.4
Pumpkin Ale,Great Lakes Brewing Co.,Cleveland OH,5.4
Chester Golden A]e,Greenall Whitley,England,5.4
Wailua Wheat,Kona Brewing Co.,Hawaii United States,5.4
A Slice of Hefen,La Cumbre Brewing Co.,Albuquerque NM,5.4
Stegmaier Porter,Lion Brewery Inc.,Pennsylvania,5.4
Amber Ale,Marble Brewary,Albuquerque NM,5.4
Blue Moon,MillerCoors,Golden CO,5.4
Palm Speciale,Palm Breweries,Belgium,5.4
Redhook Blonde Ale,Redhook Brewery,Redmond WA,5.4
Shiner Hefewizen,Shiner,,5.4
Blonde Bombshell by Southern Star,Southern Star,,5.4
Point hand-crafted Belgian White,Stevens Point Brewery,,5.4
Stone Pale Ale,Stone Brewing Co.,,5.4
Troegs Plale,Troegs Brewery,,5.4
Oatmeal Stout Wolaver's Fine Organic Ales,Wolaver's Fine Organic Ales,Middlebury VT,5.4
Lord Chesterfields,Yuengling Brewery,Potsville PA,5.4
Kentucky Ale,Alltech’s Lexington Brewing & Distilling Co. ,Lexington KY,5.3
Alaskan Freeride APA,Alaskan Brewing,Juneau AK,5.3
Alaskan Summer Ale,Alaskan Brewing,Juneau AK,5.3
Alaskan White,Alaskan Brewing,Juneau AK,5.3
High Rollers Wheat,Anderson Valley Brewing,Boonville CA,5.3
Budweiser American Ale,Anheuser Busch,St Louis MO,5.3
Tarnation California-Style Lager,Baxter Brewing Co.,Auburn ME,5.3
Belhaven Twisted Thistle,Belhaven Brewery Company Ltd.,Scotland,5.3
BBC Steal Rail,Berkshire Brewing Company,,5.3
Moose Drool Brown Ale,Big Sky Brewing Company ,Missoula MT,5.3
Monte Carlo,Cervecería Centro Americana S.A. ,Guatemala City Guatemala,5.3
Third Shift Amber Lager,Coors Brewing Company,Golden CO,5.3
Mirror Pond Pale,Deschutes,,5.3
Pilsner,Gordon Biersch,San Jose CA,5.3
Market Street Wheat,Great Lakes Brewing Co.,Cleveland OH,5.3
Oktoberfest,Great Lakes Brewing Co.,Cleveland OH,5.3
Schwarzbier,Great Lakes Brewing Co.,Cleveland OH,5.3
The Wright Pils,Great Lakes Brewing Co.,Cleveland OH,5.3
Negra Modelo,Grupo Modelo,Mexico,5.3
Negra Modelo,Grupo Modelo,Mexico,5.3
Weinhard's Amber Ale,Henry Weinhard's,Hood River OR,5.3
Pipeline Porter,Kona Brewing Co.,Hawaii United States,5.3
Big Wave,Kona Brewing Company,,5.3
Labatt's 50,Labatt Brewing Company Ltd. ,Ontario Canada,5.3
Fat Tire,New Belgium Brewing Co.,Fort Collins CO,5.3
Indiana Amber,Oaken Barrel Brewing Company,,5.3
90 Shilling,Odell's,,5.3
Pete's Red Rush,Pete's Brewing,,5.3
Pete's Wicked Ale,Pete's Brewing,,5.3
Saint Arnold brown Ale,Saint Arnold Brewing Co.,,5.3
Belgian White,Saranac - Matt Brewing Co,,5.3
Black Forest,Saranac - Matt Brewing Co,,5.3
Stellar Ale,Short's Brewing Company,Elk Rapids MI,5.3
Sun King Sunlight Cream Ale,Sun King Brewing Company,Indianapolis IN,5.3
Erdinger Weissbier,Wells & Young's Ltd ,Bedford UK,5.3
John Bull Original,Wells & Young's Ltd ,Bedford UK,5.3
Barrel Trolly beer sold at Harris Teeter stores,World Brews,,5.3
Sam Adams Pale Ale,Boston Beer Co.,Boston MA,5.3
Red Ale,Abita Brewing Company,Abita Springs LA,5.2
Michelob Amber Boch,Anheuser Busch,St Louis MO,5.2
Shock Top Belgian White,Anheuser-Busch,St Louis MO,5.2
Shock Top Pumpkin Wheat,Anheuser-Busch,St Louis MO,5.2
Shock Top Raspberry Wheat,Anheuser-Busch,St Louis MO,5.2
Stella Artois,Anheuser-Busch InBev S.A.,Belgium,5.2
Yellow Tail Pale Ale,Ballast Point Brewing Co,San Diego CA,5.2
Belhaven Scottish Ale,Belhaven Brewery Company Ltd.,Scotland,5.2
Summer Honey wheat,Blue Moon Brewing Company,,5.2
Sam Adams Cherry Wheat,Boston Beer Co.,Boston MA,5.2
Sam Adams Spring Ale,Boston Beer Co.,Boston MA,5.2
Sam Adams Summer Ale,Boston Beer Co.,Boston MA,5.2
Pintail Ale,BridgePort Brewing Co.,Portland OR,5.2
Brooklyn Lager,Brooklyn Brewery,Brooklyn NY,5.2
Wisconsin Amber,Capital Brewery,Middleton WI,5.2
Sheaf Stout,Carlton & United,Australia,5.2
Black Butte Porter,Deschutes,,5.2
Manny's Pale Ale,Georgetown Brewing Co.,Seattle WA,5.2
LOST COAST PALE ALE,Lost Coast Brewery,Eureka CA,5.2
Lowenbräu,Lowenbräu,Munich Germany,5.2
Lowenbrau Special Beer,Lowenbräu,Munich Germany,5.2
Michelob Amber Bock,Michelob,,5.2
Northern Honey Brown,Northern Brewing Co,,5.2
Stag,Pabst Brewing Co.,Los Angeles CA,5.2
Pete's Winter Brew,Pete's Brewing,,5.2
Hefeweizen,Pyramid,Seattle WA,5.2
Redhook Hefe-weizen,Redhook Brewery,Redmond WA,5.2
Sapporo Reserve,Sapporo,,5.2
Pontius Road Pilsner,Short's Brewing Company,Elk Rapids MI,5.2
Spaten Münchner Hell / München / Premium,Spaten-Franziskaner-Bräu (InBev),Munich Germany,5.2
Extra Pale Ale,Summit Brewing Co,,5.2
Summit Pale Ale,Summit Brewing Co,,5.2
Aecht Schlenkerla Rauchbier,Tavern Schlenkerla,Bamberg Germany,5.2
Wells Banana Bread Beer,Wells & Young's Ltd ,Bedford UK,5.2
Wells Bombardier,Wells & Young's Ltd ,Bedford UK,5.2
Wells Bowman Stout,Wells & Young's Ltd ,Bedford UK,5.2
Young's Double Chocolate Stout,Wells & Young's Ltd ,Bedford UK,5.2
Young's London Stout,Wells & Young's Ltd ,Bedford UK,5.2
English Premium Ale,Wells Bombardier,UK,5.2
English Premium Bitter,Wells Bombardier,UK,5.2
Satsuma,Abita Brewing Company,Abita Springs LA,5.1
Wildcats Premium Beer,Cairngorm Brewery,,5.1
Carib Beer,Carib Brewery,Trinidad & Tobago,5.1
Pine Mountain Pils,Deschutes,,5.1
Session Lager,Full Sail Brewing,Hood River OR,5.1
Tuborg Deluxe Dark Export,G. Heileman Brewing Co.,Milwaukee WI,5.1
Foster's Lager,Garlton & United,Australia,5.1
Genesee Cream Ale,Genesee Brewing Company,Rochester NY,5.1
Barrel Select Pils,Great Lakes Brewing Co.,Cleveland OH,5.1
Lorelei Dunkel Weizen,Great Lakes Brewing Co.,Cleveland OH,5.1
Prohibition Pils,Great Lakes Brewing Co.,Cleveland OH,5.1
Buckin' Horse Pilsner,Great Northern Brewery,Whitefish MT,5.1
Hellroaring Amber Lager,Great Northern Brewery,Whitefish MT,5.1
Heineken Special Dark Beer,Heineken,Amsterdam Holland,5.1
Kronenbourg,Kronenbourg,France,5.1
1888 Bock,Leinenkugel Brewing Co,Chippewa Falls WI,5.1
Ocktoberfest,Leinenkugel Brewing Co,Chippewa Falls WI,5.1
#9,Magic Hat Brewing Company,South Burlington VT,5.1
Weinhard's Blonde Lager,MillerCoors,,5.1
Molson Canadian Beer,Molson Coors,Ontario Canada,5.1
Cutthroat Pale Ale,Odell's,,5.1
Nastro Azzuro Export Lager,Peroni,Italy,5.1
Apricot Ale,Pyramid,Seattle WA,5.1
Pale Ale,Pyramid,Seattle WA,5.1
Fireman's #4,Real Ale Brewing Co.,TX,5.1
Black and Tan,Saranac - Matt Brewing Co,,5.1
Shipyard Export,Shipyard Brewing Company,,5.1
Black Diamond,Short's Brewing Company,Elk Rapids MI,5.1
Hop Sun (Summer Wheat Beer),Southern Tier Brewing Company,NY,5.1
Oatmeal Stout,Summit Brewing Co,,5.1
Original Schlenkerla Smokebeer - Märzen,Tavern Schlenkerla,Bamberg Germany,5.1
Wachusett Country Ale,Wachusett Brewing,,5.1
Wachusett country Ale,Wachusett Brewing Company,,5.1
Bock,Yuengling Brewery,Potsville PA,5.1
Pecan,Abita Brewing Company,Abita Springs LA,5
Restoration,Abita Brewing Company,Abita Springs LA,5
Alaskan Amber,Alaskan Brewing,Juneau AK,5
Alaskan ESB,Alaskan Brewing,Juneau AK,5
Alexander Keiths India Pale Ale,Alexander Keith,Halifax CAN,5
Alexander Keiths Traditional Lager,Alexander Keith,Halifax CAN,5
Bud Dry,Anheuser Busch,St Louis MO,5
Budweiser,Anheuser Busch,St Louis MO,5
Michelob,Anheuser Busch,St Louis MO,5
Asahi Draft Beer,Asahi Breweries Ltd,Japan,5
Asahi Super Dry,Asahi Breweries Ltd,Japan,5
Double Aught,Bear Republic Brewing Company,Healdsburg CA,5
Yanjing,Beijing Yanjing Brewery,Beijing China,5
Pale Ale,Bell's Brewery,Kalamazoo MI,5
Singha,Boon Rawd Brewery Co. Ltd,Thailand,5
Singha,Boon Rawd Brewery Co. Ltd,Thailand,5
Beck's,BRAUEREI BECK & CO,St Louis MO,5
Beck's Beer,Brauerei Beck & Co.,St. Louis MO,5
Oatmeal Stout,Breckenridge Brewery,Denver CO,5
Budvar,Budweiser Budvar,Czech Republic,5
Czechvar,Budweiser Budvar,Czech Republic,5
Carlsberg,Carlsberg Group,Copenhagen Denmark,5
Presidente,Cervecería Nacional Dominicana ,Dominican Republic,5
Polar Pilsener Type Beer,Cervecería Polar ,Venezuela,5
Cerveza Quisqueya,Cervecería Vegana,La Vega Dominican Republic,5
Quisqueya Extra,Cervecería Vegana,Dominican Republic,5
Pennsylvania Style Ice Beer,City Brewery,La Crosse Wisconsin USA,5
Kalik,Commonwealth Brewery Ltd.,Bahamas,5
Czechvar,Czechvar,,5
Yuengling Ale,D.G. Yuengilng,,5
Bachelor ESB,Deschutes,,5
Red Strlpe Lager Beer,Desnoes & Geddes,Kingston Jamaica,5
Smithwicks Ale,Dundalk,Ireland,5
Tuborg Export Quality,G. Heileman Brewing Co.,Milwaukee WI,5
Cellar Dweller,Great Lakes Brewing Co.,Cleveland OH,5
Moondog ESB,Great Lakes Brewing Co.,Cleveland OH,5
Greenall's Cheshire English Pub Beer,Greenall Whitley,England,5
Grolsch Lager Beer,Grolsch Bierbrouweri,Holland,5
Guinness Extra Stout,Guinness Ltd.,Ireland,5
Harpoon Ale,Harpoon Brewery,Boston MA,5
Heineken,Heineken,Amsterdam Holland,5
Heineken Lager Beer,Heineken,Amsterdam Holland,5
Hoegaarden,Hoegaarden,Germany,5
Hudy Delight,Hudepohl-Schoenling Brewing,Cincinnati OH,5
Gatekeeper,Indigo Imp Brewery,Ohio,5
Karlovacko,Karlovacko,Croatia,5
Kilarney's Red Lager,Kilarney's,,5
Kronenbourg Dark,Kronenbourg,France,5
Labatt Blue,Labatt Brewing Company Ltd. ,Ontario Canada,5
Honey Rye,Lake Placid Brewing Co,Lake Placid NY,5
DOWNTOWN BROWN,Lost Coast Brewery,Eureka CA,5
RASPBERRY BROWN,Lost Coast Brewery,Eureka CA,5
Lowenbrau Dark,Lowenbräu,Munich Germany,5
Albion Amber,Marin Brewing,,5
Bluebeery Ale,Marin Brewing,,5
Marin Weiss,Marin Brewing,,5
Mt. Tam Pale Ale,Marin Brewing,,5
Utica Club,Matt Brewing Company ,NY,5
Michelob Black & Tan,Michelob,,5
Michelob Hefeweizen,Michelob,,5
Michigan Brewing Company Nut Brown Ale,Michigan Brewing Company,,5
Michigan Brewing Company Wheatland Beer,Michigan Brewing Company,,5
Heilemans Old Style,Miller Brewing Co. (MillerCoors),Woodridge IL,5
Redd’s Apple Ale,Miller Brewing Co. (MillerCoors),Milwaukee WI,5
Redd’s Strawberry Ale,Miller Brewing Co. (MillerCoors),Milwaukee WI,5
Southpaw Light,Miller Brewing Co. (MillerCoors),Milwaukee WI,5
Coors Banquet Beer,MillerCoors,Golden CO,5
Coors Extra Gold,MillerCoors,Golden CO,5
Coors Original,MillerCoors,Golden CO,5
Boxer Lager,Minhas Craft Brewery,,5
Boxer Light,Minhas Craft Brewery,,5
Rhinelander Hammer 30 Revolutionary Ale,Minhas Craft Brewery,Rhinelander Wisconsin USA,5
Mississippi Mud Black & Tan,Mississippi Brewing Co.,,5
Molson Export,Molson Coors,Ontario Canada,5
Moosehead,Moosehead,Canada,5
Moosehead Canadian Lager Beer,Moosehead,Canada,5
Murphy's Irish Red,Murphy's,,5
New Glarus Totally Naked,New Glarus Brewing Co,,5
Steinlager beers of New Zealand,New Zealand Breweries,,5
Levity,Odell's,,5
Pabst,Pabst Brewing Co.,Los Angeles CA,5
Pabst Blue Ribbon,Pabst Brewing Co.,Los Angeles CA,5
Special Export,Pabst Brewing Co.,Los Angeles CA,5
Steendonck,Palm Breweries,Belgium,5
Pete's Helles Lager,Pete's Brewing,,5
Pete's Strawberry Blonde,Pete's Brewing,,5
Iron City Amber,Pittsburgh Brewing Co.,Pittsburgh PA,5
Coastline Pilsner,Pyramid,Seattle WA,5
Buffalo Butt Amber Lager,Rahr & Sons Brewing Co.,Fort Worth TX,5
Rahr’s Blonde Lager,Rahr & Sons Brewing Co.,Fort Worth TX,5
Texas Red,Rahr & Sons Brewing Co.,Fort Worth TX,5
Ugly Pug,Rahr & Sons Brewing Co.,Fort Worth TX,5
Red Dog,Red Dog,,5
Rhinebecker,Rhinebecker,,5
Samuel Smith's Nut Brown Ale,Samuel Smith Old Brewery (Tadcaster),England,5
Samuel Smith's Oatmeal Stout,Samuel Smith Old Brewery (Tadcaster) ,England,5
San Mig Light,San Miguel Brewery Inc.,Philippines,5
Kolsch,Saranac - Matt Brewing Co,,5
Schells Stout,Schell's Brewery,,5
Paige's Purple Wheat,Seven Brides Brewing,Silverton OR,5
Cerveza De Julie,Short's Brewing Company,Elk Rapids MI,5
Good Sumaritan,Short's Brewing Company,Elk Rapids MI,5
MMMKay,Short's Brewing Company,Elk Rapids MI,5
Rich’s RIPA,Short's Brewing Company,Elk Rapids MI,5
Tiger from Singapore,Singapore Brewery,,5
Tiger Beer,Singapore Brewery (Asia Pacific Breweries-Heineken),Singapore,5
Franziskaner Weissbier,Spaten-Franziskaner-Bräu,Munich Germany,5
Franziskaner Hefe-Weissbier,Spaten-Franziskaner-Bräu (InBev),Munich Germany,5
Peter's Brand (Union Export Brewery Breda Holland; licensed to,Union Export Brewery,,5
John Bull Classic Lager,Wells & Young's Ltd ,Bedford UK,5
Kirin Ichiban,Wells & Young's Ltd ,Bedford UK,5
Mongoose Premium Beer,Wells & Young's Ltd ,Bedford UK,5
Wells IPA,Wells & Young's Ltd ,Bedford UK,5
Wells Waggle Dance,Wells & Young's Ltd ,Bedford UK,5
Young's Ram Rod,Wells & Young's Ltd ,Bedford UK,5
Young's Winter Warmer,Wells & Young's Ltd ,Bedford UK,5
Drop Top Amber,Widmer Brothers Brewing Co.,Oregon,5
Widmer Drop top,Widmer Brothers Brewing Co.,,5
Widmer Oktoberfest,Widmer Brothers Brewing Co.,,5
Widmer Pale Ale,Widmer Brothers Brewing Co.,,5
Alta Gracia Coffee Porter Wolaver's Fine Organic Ales,Wolaver's Fine Organic Ales,Middlebury VT,5
Hefeweizen,Yazoo Brewing Company,,5
Ale,Yuengling Brewery,Potsville PA,5
Sam Adams Boston Ale,Boston Beer Co.,Boston MA,4.9
Leinenkugel Creamy Dark,Leinenkugel Brewing Co,Chippewa Falls WI,4.9
Leinenkugel Northwoods Lager,Leinenkugel Brewing Co,Chippewa Falls WI,4.9
Leinenkugel Red,Leinenkugel Brewing Co,Chippewa Falls WI,4.9
Leinenkugel Honey Weiss,Leinenkugel Brewing Co,Chippewa Falls WI,4.9
Anchor Steam,Anchor Brewing,San Francisco CA,4.9
Michelob Honey Lager,Anheuser Busch,St Louis MO,4.9
Pamola Xtra Pale Ale,Baxter Brewing Co.,Auburn ME,4.9
Beamish Irish Cream Stout,Beamish & Crawford,Cork Ireland,4.9
El Oso,Bear Republic Brewing Company,Healdsburg CA,4.9
Sam Adams Noble Pils,Boston Beer Co.,Boston MA,4.9
Samuel Adams Boston Lager,Boston Beer Co.,Boston MA,4.9
Blue Heron,BridgePort Brewing Co.,Portland OR,4.9
Victoria Bitter (VB),Carlton & United,Australia,4.9
Dos Equis XX Special Lager,Cerveceria Moctezuma,Mexico,4.9
Coopers Premium Ale,Coopers,,4.9
George Killian’s Irish Red,Coors Brewing Company,Golden CO,4.9
Pomona Queen,Dale Bros. Brewery,California,4.9
Genesee Red,Genesee Brewing Company,Rochester NY,4.9
Fred’s Black Lager,Great Northern Brewery,Whitefish MT,4.9
Weinhard's Hefeweizen,Henry Weinhard's,Hood River OR,4.9
Wolters Pilsener Premium,Hofbrauhaus Wolters GMBH,Braunschweig Germany,4.9
Killian's,Killian's,,4.9
Konig Pilsener,König Brauerei,,4.9
Classic Amber,Leinenkugel Brewing Co,Chippewa Falls WI,4.9
Creamy Dark,Leinenkugel Brewing Co,Chippewa Falls WI,4.9
Fireside Nut Brown,Leinenkugel Brewing Co,Chippewa Falls WI,4.9
Red Lager,Leinenkugel Brewing Co,Chippewa Falls WI,4.9
George Killian's Irish Red,MillerCoors,Golden CO,4.9
Leinenkugel's Sunset Wheat,MillerCoors,Milwaukee WI,4.9
O'Keefe Canadian Beer,O'Keefe,Canada,4.9
Paulaner Original Munich,Paulaner,,4.9
Saint Arnold Fancy Lawnmower,Saint Arnold Brewing Co.,,4.9
Saint Arnold Summer Pils,Saint Arnold Brewing Co.,,4.9
Saint Arnold Weedwacker,Saint Arnold Brewing Co.,,4.9
Grainbelt,Schell Brewing Company,,4.9
Shiner Bohemian Black Lager,Shiner,,4.9
Sierra Nevada Summerfest,Sierra Nevada Brewing Co.,Chico CA,4.9
St. Pauli Girl,St. Pauli Brauerei,Bremen Germany,4.9
Stiegl Pils,Stieglbrauerei zu Salzburg GmbH ,Austria,4.9
Trumer Pilser,Trumer Brauerei (Salzburg & CA),,4.9
Wernesgrüner Pils,Wernesgrüner Brauerei (Bitburger),Steinberg-Wernesgrün Germany,4.9
Drop Top Amber Ale,Widmer Brothers Brewing Co.,,4.9
Tolly Origlnal Premium Ale,Tollei-ache & Cobbold,England,4.9
Contorter Porter,Ale Asylum,Madison WI,4.8
Gold Digger,Ale Asylum,Madison WI,4.8
Redbridge (Gluten free beer),Anheuser Busch,St Louis MO,4.8
Bramha Chopp,Anheuser–Busch InBev,Brazil,4.8
Bitburger Premium,Bitburger Breweries,Germany,4.8
Boulevard Pilsner,Boulevard Brewing Co.,Kansas City MO,4.8
Beck's Dark,Brauerei Beck & Co.,St. Louis MO,4.8
Dos Equis XX,Cauhtemoc,Mexico,4.8
Big Flats,Genesee Brewing Company,Rochester NY,4.8
Genessee 12 Horse,Genesee Brewing Company,Rochester NY,4.8
Gneiss Weiss,Gneiss Brewing Company,Maine,4.8
Locktender Lager,Great Lakes Brewing Co.,Cleveland OH,4.8
Ohio City Oatmeal Stout,Great Lakes Brewing Co.,Cleveland OH,4.8
WIT Till Next Year!,Great Lakes Brewing Co.,Cleveland OH,4.8
